,component,cui,name
2072,hypertension,S-63287004,Benign essential hypertension in obstetric context (disorder)
2073,hypertension,S-843841000000109,Severe hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)
2074,hypertension,S-48552006,Hypertension secondary to renal disease complicating AND/OR reason for care during pregnancy (disorder)
2075,hypertension,S-65518004,Labile diastolic hypertension (disorder)
2076,hypertension,S-845891000000103,Hypertension resistant to drug therapy (disorder)
2077,hypertension,S-198984008,Severe pre-eclampsia - delivered with postnatal complication (disorder)
2078,hypertension,S-26078007,Hypertension secondary to renal disease complicating AND/OR reason for care during childbirth (disorder)
2079,hypertension,S-398254007,Pre-eclampsia (disorder)
2080,hypertension,S-140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder)
2081,hypertension,S-198949009,"Renal hypertension complicating pregnancy, childbirth and the puerperium (disorder)"
2082,hypertension,S-766937004,Hypertension due to gain-of-function mutation in mineralocorticoid receptor (disorder)
2083,hypertension,S-78975002,Malignant essential hypertension (disorder)
2084,hypertension,S-206596003,Neonatal hypertension (disorder)
2085,hypertension,S-46764007,Severe pre-eclampsia (disorder)
2086,hypertension,S-46481004,Low-renin essential hypertension (disorder)
2087,hypertension,S-23786008,Malignant hypertension complicating AND/OR reason for care during puerperium (disorder)
2088,hypertension,S-237279007,Transient hypertension of pregnancy (disorder)
2089,hypertension,S-698638005,Pregnancy induced hypertension with pulmonary edema (disorder)
2090,hypertension,S-89242004,Malignant secondary hypertension (disorder)
2091,hypertension,S-367390009,Hypertension in the obstetric context (disorder)
2092,hypertension,S-198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication (disorder)"
2093,hypertension,S-541000119105,"Hypertension complicating pregnancy, childbirth and the puerperium, antepartum (disorder)"
2094,hypertension,S-720568003,Brachydactyly and arterial hypertension syndrome (disorder)
2095,hypertension,S-237282002,Impending eclampsia (disorder)
2096,hypertension,S-198951008,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)"
2097,hypertension,S-28119000,Renal hypertension (disorder)
2098,hypertension,S-16229371000119106,Labile systemic arterial hypertension (disorder)
2099,hypertension,S-56218007,Systolic hypertension (disorder)
2100,hypertension,S-198946002,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)"
2101,hypertension,S-429198000,Exertional hypertension (disorder)
2102,hypertension,S-74451002,Secondary diastolic hypertension (disorder)
2103,hypertension,S-698640000,Hypertension in the puerperium with pulmonary edema (disorder)
2104,hypertension,S-288250001,Maternal hypertension (disorder)
2105,hypertension,S-140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus (disorder)
2106,hypertension,S-52698002,Transient hypertension (disorder)
2107,hypertension,S-443482000,Hypertensive urgency (disorder)
2108,hypertension,S-198966006,Transient hypertension of pregnancy - delivered with postnatal complication (disorder)
2109,hypertension,S-199007008,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium (disorder)"
2110,hypertension,S-57684003,Parenchymal renal hypertension (disorder)
2111,hypertension,S-706882009,Hypertensive crisis (disorder)
2112,hypertension,S-40521000119100,Postpartum pregnancy-induced hypertension (disorder)
2113,hypertension,S-199005000,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium (disorder)"
2114,hypertension,S-81626002,Malignant hypertension in obstetric context (disorder)
2115,hypertension,S-697929007,Intermittent hypertension (disorder)
2116,hypertension,S-8762007,Chronic hypertension in obstetric context (disorder)
2117,hypertension,S-39727004,Hypertension secondary to renal disease complicating AND/OR reason for care during puerperium (disorder)
2118,hypertension,S-59997006,Endocrine hypertension (disorder)
2119,hypertension,S-23130000,Paroxysmal hypertension (disorder)
2120,hypertension,S-15394000,Toxemia of pregnancy (disorder)
2121,hypertension,S-198944004,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)"
2122,hypertension,S-712832005,Supine hypertension (disorder)
2123,hypertension,S-428575007,Hypertension secondary to kidney transplant (disorder)
2124,hypertension,S-5501000119106,Postoperative hypertension (disorder)
2125,hypertension,S-37618003,Chronic hypertension complicating AND/OR reason for care during pregnancy (disorder)
2126,hypertension,S-863191000000102,Nocturnal hypertension (disorder)
2127,hypertension,S-198954000,"Renal hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication (disorder)"
2128,hypertension,S-132721000119104,Hypertensive emergency (disorder)
2129,hypertension,S-307632004,Non-proteinuric hypertension of pregnancy (disorder)
2130,hypertension,S-82771000119102,Hypertension complicating pregnancy (disorder)
2131,hypertension,S-1201005,Benign essential hypertension (disorder)
2132,hypertension,S-194788005,Hypertension secondary to endocrine disorder (disorder)
2133,hypertension,S-73410007,Benign secondary renovascular hypertension (disorder)
2134,hypertension,S-199008003,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium (disorder)"
2135,hypertension,S-198985009,Severe pre-eclampsia - not delivered (disorder)
2136,hypertension,S-397748008,Hypertension with albuminuria (disorder)
2137,hypertension,S-72022006,Essential hypertension in obstetric context (disorder)
2138,hypertension,S-10725009,Benign hypertension (disorder)
2139,hypertension,S-19769006,High-renin essential hypertension (disorder)
2140,hypertension,S-10752641000119102,Eclampsia with pre-existing hypertension in childbirth (disorder)
2141,hypertension,S-48194001,Pregnancy-induced hypertension (disorder)
2142,hypertension,S-198953006,"Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)"
2143,hypertension,S-40511000119107,Postpartum pre-existing essential hypertension (disorder)
2144,hypertension,S-194785008,Secondary benign hypertension (disorder)
2145,hypertension,S-18416000,Essential hypertension complicating AND/OR reason for care during childbirth (disorder)
2146,hypertension,S-35303009,Benign essential hypertension complicating AND/OR reason for care during puerperium (disorder)
2147,hypertension,S-199000005,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication (disorder)
2148,hypertension,S-198997005,Pre-eclampsia or eclampsia with pre-existing hypertension (disorder)
2149,hypertension,S-24042004,Chronic hypertension complicating AND/OR reason for care during puerperium (disorder)
2150,hypertension,S-14973001,Renal sclerosis with hypertension (disorder)
2151,hypertension,S-199003007,Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication (disorder)
2152,hypertension,S-198999008,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered (disorder)
2153,hypertension,S-371125006,Labile essential hypertension (disorder)
2154,hypertension,S-908651000000101,Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) with evidence of end organ damage (disorder)
2155,hypertension,S-198941007,"Hypertension complicating pregnancy, childbirth and the puerperium (disorder)"
2156,hypertension,S-71701000119105,Hypertension in chronic kidney disease due to type 1 diabetes mellitus (disorder)
2157,hypertension,S-59621000,Essential hypertension (disorder)
2158,hypertension,S-9901000,Essential hypertension complicating AND/OR reason for care during puerperium (disorder)
2159,hypertension,S-198967002,Transient hypertension of pregnancy - not delivered (disorder)
2160,hypertension,S-427889009,Hypertension associated with transplantation (disorder)
2161,hypertension,S-118781000119108,Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy (disorder)
2162,hypertension,S-29259002,Malignant hypertension complicating AND/OR reason for care during pregnancy (disorder)
2163,hypertension,S-39018007,Renal arterial hypertension (disorder)
2164,hypertension,S-111438007,Hypertension secondary to renal disease in obstetric context (disorder)
2165,hypertension,S-10757401000119104,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth (disorder)
2166,hypertension,S-140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder)
2167,hypertension,S-71874008,Benign essential hypertension complicating AND/OR reason for care during childbirth (disorder)
2168,hypertension,S-199002002,Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered (disorder)
2169,hypertension,S-198968007,Transient hypertension of pregnancy with postnatal complication (disorder)
2170,hypertension,S-198983002,Severe pre-eclampsia - delivered (disorder)
2171,hypertension,S-198986005,Severe pre-eclampsia with postnatal complication (disorder)
2172,hypertension,S-71421000119105,Hypertension in chronic kidney disease due to type 2 diabetes mellitus (disorder)
2173,hypertension,S-10562009,Malignant hypertension complicating AND/OR reason for care during childbirth (disorder)
2174,hypertension,S-846371000000103,Stage 2 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)
2175,hypertension,S-67359005,Pre-eclampsia added to pre-existing hypertension (disorder)
2176,hypertension,S-65402008,Pre-existing hypertension complicating AND/OR reason for care during pregnancy (disorder)
2177,hypertension,S-8218002,Chronic hypertension complicating AND/OR reason for care during childbirth (disorder)
2178,hypertension,S-95605009,Hemolysis-elevated liver enzymes-low platelet count syndrome (disorder)
2179,hypertension,S-140131000119102,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus (disorder)
2180,Female,Female,
2181,congestive heart failure,S-92506005,Biventricular congestive heart failure (disorder)
2182,congestive heart failure,S-66989003,Chronic right-sided congestive heart failure (disorder)
2183,congestive heart failure,S-717840005,Congestive heart failure stage B (disorder)
2184,congestive heart failure,S-74960003,Acute left-sided congestive heart failure (disorder)
2185,congestive heart failure,S-67431000119105,Congestive heart failure stage D (disorder)
2186,congestive heart failure,S-42343007,Congestive heart failure (disorder)
2187,congestive heart failure,S-426263006,Congestive heart failure due to left ventricular systolic dysfunction (disorder)
2188,congestive heart failure,S-43736008,Rheumatic left ventricular failure (disorder)
2189,congestive heart failure,S-194779001,Hypertensive heart and renal disease with (congestive) heart failure (disorder)
2190,congestive heart failure,S-96311000119109,Exacerbation of congestive heart failure (disorder)
2191,congestive heart failure,S-5148006,Hypertensive heart disease with congestive heart failure (disorder)
2192,congestive heart failure,S-80479009,Acute right-sided congestive heart failure (disorder)
2193,congestive heart failure,S-83105008,Malignant hypertensive heart disease with congestive heart failure (disorder)
2194,congestive heart failure,S-15629591000119103,Congestive heart failure stage B due to ischemic cardiomyopathy (disorder)
2195,congestive heart failure,S-82523003,Congestive rheumatic heart failure (disorder)
2196,congestive heart failure,S-194767001,Benign hypertensive heart disease with congestive cardiac failure (disorder)
2197,congestive heart failure,S-10633002,Acute congestive heart failure (disorder)
2198,congestive heart failure,S-88805009,Chronic congestive heart failure (disorder)
2199,congestive heart failure,S-426611007,Congestive heart failure due to valvular disease (disorder)
2200,congestive heart failure,S-194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure (disorder)
2201,congestive heart failure,S-15781000119107,Hypertensive heart AND chronic kidney disease with congestive heart failure (disorder)
2202,congestive heart failure,S-101281000119107,Congestive heart failure due to cardiomyopathy (disorder)
2203,congestive heart failure,S-72481000119103,Congestive heart failure as early postoperative complication (disorder)
2204,congestive heart failure,S-5375005,Chronic left-sided congestive heart failure (disorder)
2205,congestive heart failure,S-15629541000119106,Congestive heart failure stage C due to Ischemic cardiomyopathy (disorder)
2206,congestive heart failure,S-23341000119109,Congestive heart failure with right heart failure (disorder)
2207,congestive heart failure,S-67441000119101,Congestive heart failure stage C (disorder)
2208,congestive heart failure,S-698594003,Symptomatic congestive heart failure (disorder)
2209,congestive heart failure,S-698296002,Acute exacerbation of chronic congestive heart failure (disorder)
2210,congestive heart failure,S-233707008,High altitude pulmonary edema (disorder)
2211,congestive heart failure,S-10674871000119105,Pulmonary edema caused by chemical fumes (disorder)
2212,congestive heart failure,S-19242006,Pulmonary edema (disorder)
2213,congestive heart failure,S-46847001,Chronic pulmonary edema (disorder)
2214,congestive heart failure,S-233711002,Oxygen-induced pulmonary edema (disorder)
2215,congestive heart failure,S-360371003,Acute cardiac pulmonary edema (disorder)
2216,congestive heart failure,S-196151000,Pulmonary insufficiency following shock (disorder)
2217,congestive heart failure,S-698638005,Pregnancy induced hypertension with pulmonary edema (disorder)
2218,congestive heart failure,S-196152007,Pulmonary insufficiency following surgery (disorder)
2219,congestive heart failure,S-67782005,Acute respiratory distress syndrome (disorder)
2220,congestive heart failure,S-95437004,Non-cardiogenic pulmonary edema (disorder)
2221,congestive heart failure,S-233712009,Fluid overload pulmonary edema (disorder)
2222,congestive heart failure,S-405276000,Negative pressure pulmonary edema (disorder)
2223,congestive heart failure,S-162970000,On examination - pulmonary edema (disorder)
2224,congestive heart failure,S-40541001,Acute pulmonary edema (disorder)
2225,congestive heart failure,S-240629003,Malarial shock lung (disorder)
2226,congestive heart failure,S-196153002,Pulmonary insufficiency following trauma (disorder)
2227,congestive heart failure,S-10519008,Acute pulmonary edema caused by fumes AND/OR vapors (disorder)
2228,congestive heart failure,S-233708003,Post-upper airway obstruction pulmonary edema (disorder)
2229,congestive heart failure,S-700458001,Pulmonary edema due to hypoproteinemia (disorder)
2230,congestive heart failure,S-11468004,Postoperative pulmonary edema (disorder)
2231,congestive heart failure,S-276637009,Hemorrhagic pulmonary edema (disorder)
2232,congestive heart failure,S-233706004,Drug-induced acute pulmonary edema (disorder)
2233,congestive heart failure,S-89687005,Postimmersion-submersion syndrome (disorder)
2234,congestive heart failure,S-233709006,Toxic pulmonary edema (disorder)
2235,congestive heart failure,S-61233003,Silo-fillers' disease (disorder)
2236,congestive heart failure,S-698640000,Hypertension in the puerperium with pulmonary edema (disorder)
2237,congestive heart failure,S-233705000,Neurogenic pulmonary edema (disorder)
2238,congestive heart failure,S-233710001,Chemical-induced pulmonary edema (disorder)
2239,diabetes mellitus,S-770095003,Cranial nerve palsy co-occurrent and due to diabetes mellitus (disorder)
2240,diabetes mellitus,S-768794008,Cataract of bilateral eyes co-occurrent and due to diabetes mellitus (disorder)
2241,diabetes mellitus,S-359642000,Diabetes mellitus type 2 in nonobese (disorder)
2242,diabetes mellitus,S-38205001,Diarrhea co-occurrent and due to diabetes mellitus (disorder)
2243,diabetes mellitus,S-190372001,Type I diabetes mellitus maturity onset (disorder)
2244,diabetes mellitus,S-421468001,Neurological disorder co-occurrent and due to type 1 diabetes mellitus (disorder)
2245,diabetes mellitus,S-193349004,Preproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder)
2246,diabetes mellitus,S-193350004,Advanced maculopathy co-occurrent and due to diabetes mellitus (disorder)
2247,diabetes mellitus,S-773001000000103,Symptomatic diabetic peripheral neuropathy (disorder)
2248,diabetes mellitus,S-138921000119104,Moderate nonproliferative retinopathy co-occurrent and due to type 2 diabetes mellitus (disorder)
2249,diabetes mellitus,S-111552007,Diabetes mellitus without complication (disorder)
2250,diabetes mellitus,S-408411003,On examination - right eye preproliferative diabetic retinopathy (disorder)
2251,diabetes mellitus,S-25093002,Disorder of eye co-occurrent and due to diabetes mellitus (disorder)
2252,diabetes mellitus,S-138891000119109,Moderate nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus (disorder)
2253,diabetes mellitus,S-368711000119106,Mild nonproliferative retinopathy co-occurrent and due to secondary diabetes mellitus (disorder)
2254,diabetes mellitus,S-127011001,Sensory neuropathy co-occurrent and due to diabetes mellitus (disorder)
2255,diabetes mellitus,S-703138006,Type II diabetes mellitus in remission (disorder)
2256,diabetes mellitus,S-722454003,"Intellectual disability, craniofacial dysmorphism, hypogonadism, diabetes mellitus syndrome (disorder)"
2257,diabetes mellitus,S-775841000000109,Diabetic retinopathy detected by national screening programme (disorder)
2258,diabetes mellitus,S-724136006,Diabetic mastopathy (disorder)
2259,diabetes mellitus,S-609575003,"Maturity-onset diabetes of the young, type 8 (disorder)"
2260,diabetes mellitus,S-314893005,Type I diabetes mellitus with arthropathy (disorder)
2261,diabetes mellitus,S-193489006,Iritis co-occurrent and due to diabetes mellitus (disorder)
2262,diabetes mellitus,S-314771006,Type I diabetes mellitus with hypoglycemic coma (disorder)
2263,diabetes mellitus,S-421326000,Neurological disorder co-occurrent and due to type 2 diabetes mellitus (disorder)
2264,diabetes mellitus,S-445260006,Posttransplant diabetes mellitus (disorder)
2265,diabetes mellitus,S-413183008,Diabetes mellitus caused by non-steroid drugs without complication (disorder)
2266,diabetes mellitus,S-190406000,Malnutrition-related diabetes mellitus with ketoacidosis (disorder)
2267,diabetes mellitus,S-237652003,Insulin resistance - type B (disorder)
2268,diabetes mellitus,S-312910009,Vitreous hemorrhage co-occurrent and due to diabetes mellitus (disorder)
2269,diabetes mellitus,S-104951000119106,Diabetic vitreous hemorrhage due to type 1 diabetes mellitus (disorder)
2270,diabetes mellitus,S-46894009,"Gestational diabetes mellitus, class A>2< (disorder)"
2271,diabetes mellitus,S-230579006,Thoracic radiculopathy co-occurrent and due to diabetes mellitus (disorder)
2272,diabetes mellitus,S-71791000119104,Peripheral neuropathy co-occurrent and due to type 1 diabetes mellitus (disorder)
2273,diabetes mellitus,S-1491000119102,Diabetic vitreous hemorrhage associated with type II diabetes mellitus (disorder)
2274,diabetes mellitus,S-421075007,Ketoacidotic coma in type I diabetes mellitus (disorder)
2275,diabetes mellitus,S-138881000119106,Mild nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus (disorder)
2276,diabetes mellitus,S-19378003,Pseudotabes co-occurrent and due to diabetes mellitus (disorder)
2277,diabetes mellitus,S-420918009,Mononeuropathy co-occurrent and due to type 1 diabetes mellitus (disorder)
2278,diabetes mellitus,S-399872003,Severe nonproliferative retinopathy with clinically significant macular edema co-occurrent and due to diabetes mellitus (disorder)
2279,diabetes mellitus,S-427571000,Lumbosacral radiculoplexus neuropathy co-occurrent and due to type 1 diabetes mellitus (disorder)
2280,diabetes mellitus,S-609561005,Maturity-onset diabetes of the young (disorder)
2281,diabetes mellitus,S-739681000,Disorder of eye co-occurrent and due to type 1 diabetes mellitus (disorder)
2282,diabetes mellitus,S-237604008,"Maturity onset diabetes of the young, type 2 (disorder)"
2283,diabetes mellitus,S-138911000119106,Mild nonproliferative retinopathy co-occurrent and due to type 2 diabetes mellitus (disorder)
2284,diabetes mellitus,S-422126006,Hyperosmolar coma associated with diabetes mellitus (disorder)
2285,diabetes mellitus,S-50620007,Autonomic neuropathy co-occurrent and due to diabetes mellitus (disorder)
2286,diabetes mellitus,S-722206009,"Pancreatic hypoplasia, diabetes mellitus, congenital heart disease syndrome (disorder)"
2287,diabetes mellitus,S-1511000119107,Peripheral neuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)
2288,diabetes mellitus,S-368521000119107,Disorder of nerve co-occurrent and due to type 1 diabetes mellitus (disorder)
2289,diabetes mellitus,S-312906006,Proliferative diabetic retinopathy - non high risk (disorder)
2290,diabetes mellitus,S-236500003,Proteinuric diabetic nephropathy (disorder)
2291,diabetes mellitus,S-609568004,Diabetes mellitus due to genetic defect in beta cell function (disorder)
2292,diabetes mellitus,S-408413000,On examination - right eye proliferative diabetic retinopathy (disorder)
2293,diabetes mellitus,S-421365002,Peripheral circulatory disorder associated with type I diabetes mellitus (disorder)
2294,diabetes mellitus,S-105401000119101,Diabetes mellitus due to pancreatic injury (disorder)
2295,diabetes mellitus,S-768798006,Iritis of left eye co-occurrent and due to diabetes mellitus (disorder)
2296,diabetes mellitus,S-110181000119105,Peripheral sensory neuropathy due to type 2 diabetes mellitus (disorder)
2297,diabetes mellitus,S-691000119103,Erectile dysfunction co-occurrent and due to type 1 diabetes mellitus (disorder)
2298,diabetes mellitus,S-59276001,Proliferative retinopathy co-occurrent and due to diabetes mellitus (disorder)
2299,diabetes mellitus,S-399866003,Diabetic retinal venous beading (disorder)
2300,diabetes mellitus,S-770324004,Retinal ischemia co-occurrent and due to diabetes mellitus (disorder)
2301,diabetes mellitus,S-312909004,Proliferative diabetic retinopathy - iris neovascularization (disorder)
2302,diabetes mellitus,S-408409007,On examination - right eye background diabetic retinopathy (disorder)
2303,diabetes mellitus,S-314904008,Type II diabetes mellitus with neuropathic arthropathy (disorder)
2304,diabetes mellitus,S-769222008,Clinically significant macular edema of left eye co-occurrent and due to diabetes mellitus (disorder)
2305,diabetes mellitus,S-421779007,Exudative maculopathy co-occurrent and due to type 2 diabetes mellitus (disorder)
2306,diabetes mellitus,S-1501000119109,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder)
2307,diabetes mellitus,S-367261000119100,Hyperosmolarity co-occurrent and due to drug induced diabetes mellitus (disorder)
2308,diabetes mellitus,S-190407009,Malnutrition-related diabetes mellitus with renal complications (disorder)
2309,diabetes mellitus,S-420683009,Neurological disorder associated with malnutrition-related diabetes mellitus (disorder)
2310,diabetes mellitus,S-81531005,Diabetes mellitus type 2 in obese (disorder)
2311,diabetes mellitus,S-712882000,Autonomic neuropathy co-occurrent and due to type 1 diabetes mellitus (disorder)
2312,diabetes mellitus,S-197605007,Nephrotic syndrome due to diabetes mellitus (disorder)
2313,diabetes mellitus,S-609564002,Pre-existing type 1 diabetes mellitus in pregnancy (disorder)
2314,diabetes mellitus,S-399862001,Proliferative diabetic retinopathy - high risk with no macular edema (disorder)
2315,diabetes mellitus,S-87921000119104,Cranial nerve palsy co-occurrent and due to type 2 diabetes mellitus (disorder)
2316,diabetes mellitus,S-420279001,Renal disorder due to type 2 diabetes mellitus (disorder)
2317,diabetes mellitus,S-426705001,Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder)
2318,diabetes mellitus,S-408410002,On examination - left eye background diabetic retinopathy (disorder)
2319,diabetes mellitus,S-368601000119102,Hyperosmolar coma due to secondary diabetes mellitus (disorder)
2320,diabetes mellitus,S-312905005,Severe nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder)
2321,diabetes mellitus,S-421986006,Persistent proteinuria associated with type II diabetes mellitus (disorder)
2322,diabetes mellitus,S-609571007,"Maturity-onset diabetes of the young, type 4 (disorder)"
2323,diabetes mellitus,S-422166005,Peripheral circulatory disorder associated with type II diabetes mellitus (disorder)
2324,diabetes mellitus,S-237601000,Secondary endocrine diabetes mellitus (disorder)
2325,diabetes mellitus,S-190411003,Malnutrition-related diabetes mellitus with multiple complications (disorder)
2326,diabetes mellitus,S-721088003,"Developmental delay, epilepsy, neonatal diabetes syndrome (disorder)"
2327,diabetes mellitus,S-237627000,Pregnancy and type 2 diabetes mellitus (disorder)
2328,diabetes mellitus,S-399873008,Severe nonproliferative retinopathy without macular edema co-occurrent and due to diabetes mellitus (disorder)
2329,diabetes mellitus,S-59079001,Diabetes mellitus associated with hormonal etiology (disorder)
2330,diabetes mellitus,S-312903003,Mild nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder)
2331,diabetes mellitus,S-190330002,Type 1 diabetes mellitus with hyperosmolar coma (disorder)
2332,diabetes mellitus,S-193185007,Asymptomatic neuropathy co-occurrent and due to diabetes mellitus (disorder)
2333,diabetes mellitus,S-420789003,Retinopathy co-occurrent and due to type 1 diabetes mellitus (disorder)
2334,diabetes mellitus,S-237619009,Diabetes-deafness syndrome maternally transmitted (disorder)
2335,diabetes mellitus,S-414910007,On examination - right eye stable treated proliferative diabetic retinopathy (disorder)
2336,diabetes mellitus,S-770094004,Cervical radiculoplexus neuropathy co-occurrent and due to diabetes mellitus (disorder)
2337,diabetes mellitus,S-609569007,Diabetes mellitus due to genetic defect in insulin action (disorder)
2338,diabetes mellitus,S-768792007,Cataract of right eye co-occurrent and due to diabetes mellitus (disorder)
2339,diabetes mellitus,S-190368000,Type I diabetes mellitus with ulcer (disorder)
2340,diabetes mellitus,S-420996007,Coma associated with malnutrition-related diabetes mellitus (disorder)
2341,diabetes mellitus,S-46635009,Diabetes mellitus type 1 (disorder)
2342,diabetes mellitus,S-769244003,Disorder of right macula co-occurrent and due to diabetes mellitus (disorder)
2343,diabetes mellitus,S-4783006,Maternal diabetes mellitus with hypoglycemia affecting fetus OR newborn (disorder)
2344,diabetes mellitus,S-40791000119105,Postpartum gestational diabetes mellitus (disorder)
2345,diabetes mellitus,S-193183000,Acute painful diabetic neuropathy (disorder)
2346,diabetes mellitus,S-428007007,Erectile dysfunction co-occurrent and due to type 2 diabetes mellitus (disorder)
2347,diabetes mellitus,S-31211000119101,Peripheral angiopathy due to type 1 diabetes mellitus (disorder)
2348,diabetes mellitus,S-408412005,On examination - left eye preproliferative diabetic retinopathy (disorder)
2349,diabetes mellitus,S-8801005,Secondary diabetes mellitus (disorder)
2350,diabetes mellitus,S-769183005,Mild nonproliferative retinopathy of right eye co-occurrent and due to diabetes mellitus (disorder)
2351,diabetes mellitus,S-75022004,"Gestational diabetes mellitus, class A>1< (disorder)"
2352,diabetes mellitus,S-35777006,Diabetic mononeuropathy multiplex (disorder)
2353,diabetes mellitus,S-770323005,Retinal edema co-occurrent and due to diabetes mellitus (disorder)
2354,diabetes mellitus,S-28331000119107,Retinal edema co-occurrent and due to type 2 diabetes mellitus (disorder)
2355,diabetes mellitus,S-91352004,Diabetes mellitus due to structurally abnormal insulin (disorder)
2356,diabetes mellitus,S-75682002,Diabetes mellitus caused by insulin receptor antibodies (disorder)
2357,diabetes mellitus,S-770097006,Clinically significant macular edema co-occurrent and due to diabetes mellitus (disorder)
2358,diabetes mellitus,S-190389009,Type II diabetes mellitus with ulcer (disorder)
2359,diabetes mellitus,S-422088007,Disorder of nervous system co-occurrent and due to diabetes mellitus (disorder)
2360,diabetes mellitus,S-427027005,Lumbosacral radiculoplexus neuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)
2361,diabetes mellitus,S-609577006,"Maturity-onset diabetes of the young, type 10 (disorder)"
2362,diabetes mellitus,S-769185003,Moderate nonproliferative retinopathy of right eye co-occurrent and due to diabetes mellitus (disorder)
2363,diabetes mellitus,S-190447002,Steroid-induced diabetes (disorder)
2364,diabetes mellitus,S-111307005,Leprechaunism syndrome (disorder)
2365,diabetes mellitus,S-276560009,Diabetes mellitus in neonate small for gestational age (disorder)
2366,diabetes mellitus,S-421893009,Renal disorder associated with type I diabetes mellitus (disorder)
2367,diabetes mellitus,S-97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)
2368,diabetes mellitus,S-724205009,Laminopathy type Decaudain Vigouroux (disorder)
2369,diabetes mellitus,S-232021008,Proliferative diabetic retinopathy with new vessels on disc (disorder)
2370,diabetes mellitus,S-110996009,Armanni-Ebstein kidney (disorder)
2371,diabetes mellitus,S-399870006,Non-high-risk proliferative diabetic retinopathy with no macular edema (disorder)
2372,diabetes mellitus,S-609570008,"Maturity-onset diabetes of the young, type 3 (disorder)"
2373,diabetes mellitus,S-609574004,"Maturity-onset diabetes of the young, type 7 (disorder)"
2374,diabetes mellitus,S-719216001,Hypoglycemic coma co-occurrent and due to diabetes mellitus type II (disorder)
2375,diabetes mellitus,S-737212004,Diabetes mellitus caused by chemical (disorder)
2376,diabetes mellitus,S-24203005,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND abnormal insulin receptors (disorder)"
2377,diabetes mellitus,S-735538002,Lactic acidosis co-occurrent and due to diabetes mellitus (disorder)
2378,diabetes mellitus,S-712883005,Autonomic neuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)
2379,diabetes mellitus,S-609565001,Permanent neonatal diabetes mellitus (disorder)
2380,diabetes mellitus,S-312912001,Macular edema co-occurrent and due to diabetes mellitus (disorder)
2381,diabetes mellitus,S-236499007,Microalbuminuric diabetic nephropathy (disorder)
2382,diabetes mellitus,S-190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications (disorder)
2383,diabetes mellitus,S-126535008,Motor polyneuropathy co-occurrent and due to diabetes mellitus (disorder)
2384,diabetes mellitus,S-399876000,Very severe nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder)
2385,diabetes mellitus,S-314010006,Diffuse exudative maculopathy co-occurrent and due to diabetes mellitus (disorder)
2386,diabetes mellitus,S-735539005,Metabolic acidosis co-occurrent and due to diabetes mellitus (disorder)
2387,diabetes mellitus,S-422099009,Disorder of eye co-occurrent and due to type 2 diabetes mellitus (disorder)
2388,diabetes mellitus,S-399865004,Very severe proliferative diabetic retinopathy (disorder)
2389,diabetes mellitus,S-420436000,Mononeuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)
2390,diabetes mellitus,S-82571000119107,Traction retinal detachment co-occurrent and due to type 1 diabetes mellitus (disorder)
2391,diabetes mellitus,S-60951000119105,Blindness co-occurrent and due to type 2 diabetes mellitus (disorder)
